model,log_likelihood,rmse,length_scale,kernel_variance,dynamics_coeff,gp_coeff,noise_diff_coeff
SE,4368.290563690838,7.889862171890143e-05,0.5,0.05,,1.0,
iSE,4375.210232760361,7.438744501034025e-05,0.1,0.05,,1.0,
iDSE,4374.4997929923475,7.478718651057577e-05,0.1,0.05,-0.2,1.0,
iiSE,4364.014826714168,8.099841124554009e-05,0.05,1.0,,1.0,
iiDSE,4365.82010506769,8.051933281623383e-05,0.05,1.0,-0.5,1.0,
CV,4374.390747998086,7.544093541563508e-05,,,,,0.2
