model,log_likelihood,rmse,length_scale,kernel_variance,dynamics_coeff,gp_coeff,noise_diff_coeff
SE,9428.943393254262,6.474201754313907e-05,1.0,0.5,,1.0,
iSE,9404.945229679353,6.870835473457795e-05,0.1,0.05,,1.0,
iDSE,9426.758102633967,6.39879519922911e-05,0.5,0.5,-0.5,1.0,
iiSE,9410.665222051863,6.660874192233185e-05,0.05,1.0,,1.0,
iiDSE,9413.234608799416,6.648323814875921e-05,0.05,1.0,-0.5,1.0,
CV,9418.906404857044,6.493880727902345e-05,,,,,0.2
