model,log_likelihood,rmse,length_scale,kernel_variance,dynamics_coeff,gp_coeff,noise_diff_coeff
SE,19594.25176878566,9.534378834154158e-05,0.5,0.1,,1.0,
iSE,19686.908444095738,8.798536581935306e-05,0.1,0.05,,1.0,
iDSE,19691.663067109515,8.738586083151584e-05,0.1,0.05,-0.3,1.0,
iiSE,19409.590331451644,0.0001151910970282382,0.05,1.0,,1.0,
iiDSE,19413.553540374483,0.00011504345792639245,0.05,1.0,-0.5,1.0,
CV,19624.159948973604,9.257297006671738e-05,,,,,0.4
