model,log_likelihood,rmse,length_scale,kernel_variance,dynamics_coeff,gp_coeff,noise_diff_coeff
SE,2170.105906528892,0.00011638284914193434,0.5,0.1,,1.0,
iSE,2189.2360568600857,9.61194963315872e-05,0.1,0.05,,1.0,
iDSE,2193.0120698234155,9.428390984080986e-05,0.1,0.1,-0.5,1.0,
iiSE,2060.6089673884385,0.00020643611568890106,0.05,1.0,,1.0,
iiDSE,2060.6122586825754,0.00020655368743573794,0.05,1.0,-0.1,1.0,
CV,2178.8334026977295,9.907402121946897e-05,,,,,0.9
