id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19547639,0,-0.18209,0.0181931,-0.0460906,0.248178,0.199886,0.0598732,400.001,0.32424,-1.437,-0.12,-0.12357,1.44729,141.152,166.437,139.944,-0.172947,-0.546737,2.54215,2.60603,-8.57682,-52.3631,211.625,218.175,0.103909,s20140923_130041_461
19547640,1,-0.179656,0.0201879,-0.0454959,0.233808,0.198686,0.0586375,400.0,0.312379,-2.2274,-0.02795,-0.13097,2.23142,139.643,165.921,138.458,-0.258716,-1.07037,4.6584,4.78679,-9.28001,-65.9816,261.538,269.892,0.104504,s20140923_130041_461
19547641,2,-0.177466,0.0221729,-0.0449183,0.20363,0.199327,0.0572538,400.0,0.290645,-2.887,0.4205,-0.03301,2.91765,135.612,164.296,134.476,-0.358548,-1.86637,7.77291,8.00188,8.11718,-54.2622,166.708,175.504,0.105082,s20140923_130041_461
19547642,3,-0.175574,0.0241982,-0.0443438,0.176068,0.207096,0.0579773,400.0,0.277939,-2.2442,0.94445,0.22521,2.44523,130.37,161.774,129.307,-0.096372,-2.15561,7.99255,8.2787,61.3912,-13.0414,-124.555,139.474,0.105656,s20140923_130041_461
19547643,4,-0.173911,0.026326,-0.0437486,0.158746,0.218216,0.061758,400.0,0.276826,-1.2161,0.8925,0.56104,1.60942,126.035,158.742,124.991,0.869277,-2.1272,5.28181,5.76004,111.614,7.31592,-307.237,326.964,0.106251,s20140923_130041_461
19547644,5,-0.172365,0.0285479,-0.0430965,0.151746,0.224946,0.0691981,400.0,0.280028,-0.46295,0.2584,0.820615,0.976986,124.003,155.486,122.813,2.13592,-2.00929,1.84782,3.4661,103.461,10.364,-270.735,290.016,0.106904,s20140923_130041_461
19547645,6,-0.17086,0.0307973,-0.0423595,0.149487,0.223384,0.0781703,400.0,0.279924,-0.3381,-0.57025,0.81526,1.05078,123.79,152.394,122.278,2.9385,-1.91992,-0.132899,3.51262,51.1294,3.86178,-118.916,129.499,0.10764,s20140923_130041_461
19547646,7,-0.169383,0.032988,-0.0415385,0.144984,0.213541,0.0855033,400.0,0.271902,-0.6665,-1.25035,0.578455,1.53043,124.175,149.47,122.223,3.15851,-1.93206,-0.530497,3.74038,2.82804,2.29396,-13.4312,13.9161,0.108461,s20140923_130041_461
19547647,8,-0.167975,0.0350504,-0.0406597,0.136157,0.198377,0.0897394,400.0,0.256798,-0.96525,-1.60115,0.2688,1.88882,124.464,146.612,122.02,2.99506,-1.87404,-0.401523,3.55579,-35.3982,19.3799,11.321,41.9139,0.10934,s20140923_130041_461
19547648,9,-0.166665,0.0369499,-0.0397541,0.125679,0.181518,0.0908793,400.0,0.238753,-1.0256,-1.62095,-0.03251,1.91843,124.698,144.129,121.762,2.45054,-1.54446,-0.304078,2.91255,-87.2866,52.6153,15.527,103.094,0.110246,s20140923_130041_461
19547649,10,-0.16546,0.0386851,-0.0388519,0.115645,0.165958,0.0890892,400.0,0.221026,-0.93165,-1.3808,-0.35368,1.70284,124.87,142.391,121.548,1.24933,-0.821731,-0.0909834,1.49811,-185.074,109.902,35.0839,218.087,0.111148,s20140923_130041_461
19547650,11,-0.164348,0.0402807,-0.0379839,0.107046,0.153902,0.0838057,400.0,0.205349,-0.7744,-0.9651,-0.837055,1.49391,124.82,141.943,121.419,-1.25094,0.653581,0.3976,1.46633,-310.821,180.561,65.6386,365.404,0.109719,s20140923_130041_461
19547651,12,-0.163313,0.0417791,-0.0371964,0.100157,0.146656,0.0723481,400.0,0.191765,-0.639975,-0.49805,-1.46463,1.67415,124.331,144.158,121.486,-4.96709,2.78948,1.22179,5.82632,-336.451,182.699,101.237,396.014,0.108221,s20140923_130041_461
19547652,13,-0.162341,0.0432289,-0.0365582,0.0942465,0.143941,0.0545131,400.0,0.18048,-0.628295,-0.12975,-1.85544,1.96322,123.215,149.954,121.48,-7.97996,4.30756,2.42233,9.3863,-198.015,85.1537,130.113,251.775,0.106771,s20140923_130041_461
19547653,14,-0.161431,0.0446674,-0.0361109,0.0875911,0.144061,0.0352394,400.0,0.172243,-0.745165,0.0669,-1.83215,1.97902,121.3,158.084,120.566,-8.92739,4.49256,3.82406,10.7007,-21.9386,-16.2426,128.926,131.785,0.105333,s20140923_130041_461
19547654,15,-0.160595,0.0461138,-0.0358471,0.0793432,0.145279,0.01787,400.0,0.166495,-0.89816,0.0999,-1.59915,1.83683,118.641,167.307,118.46,-8.41873,3.98271,5.00086,10.571,102.236,-66.9986,96.8649,155.961,0.103886,s20140923_130041_461
19547655,16,-0.159849,0.0475715,-0.0357443,0.0696279,0.146059,0.00325648,400.0,0.161839,-1.0376,-0.02115,-1.23572,1.61371,115.488,177.322,115.482,-6.88266,3.15259,5.76135,9.51331,231.116,-107.409,66.3084,263.341,0.102429,s20140923_130041_461
19547656,17,-0.159207,0.0490284,-0.0357669,0.0585913,0.144856,-0.00684448,400.0,0.156407,-1.17098,-0.28595,-0.635929,1.36286,112.022,173.337,112.0,-3.7964,1.83452,6.32703,7.60325,404.055,-154.006,58.2945,436.322,0.100972,s20140923_130041_461
19547657,18,-0.158681,0.0504576,-0.0358563,0.0462082,0.14034,-0.0094621,400.0,0.148054,-1.28139,-0.6641,0.196688,1.4566,108.225,168.427,108.186,1.19844,0.0724568,6.92724,7.03052,571.195,-178.994,57.8915,601.377,0.0995424,s20140923_130041_461
19547658,19,-0.158285,0.051821,-0.0359256,0.0329635,0.131574,-0.00291073,400.0,0.135672,-1.31046,-1.1231,1.02684,2.00825,104.065,174.954,104.062,7.6275,-1.74535,7.48486,10.8281,691.207,-167.805,44.7789,712.693,0.098179,s20140923_130041_461
19547659,20,-0.158021,0.0530726,-0.0358897,0.0199989,0.117878,0.0110747,400.0,0.120074,-1.22237,-1.61994,1.60583,2.58787,99.629,151.024,99.5875,15.0226,-3.28365,7.82282,17.2527,780.703,-125.623,9.82359,790.807,0.0969274,s20140923_130041_461
19547660,21,-0.15788,0.0541619,-0.0356903,0.00851614,0.0991753,0.0292059,400.0,0.103736,-1.0185,-2.06972,1.85572,2.96053,94.9079,106.256,94.7089,23.2416,-4.2578,7.68133,24.8456,788.909,-43.2497,-50.0534,791.678,0.0958381,s20140923_130041_461
19547661,22,-0.157842,0.0550429,-0.0353028,-0.000371098,0.0764836,0.048189,400.0,0.0903994,-0.73728,-2.3906,1.80065,3.08235,89.722,89.5588,89.7648,30.8008,-4.14865,6.82176,31.8188,551.782,76.8754,-113.246,568.505,0.0949571,s20140923_130041_461
19547662,23,-0.157878,0.0556835,-0.034733,-0.00622947,0.0513633,0.0652189,400.0,0.0832496,-0.441241,-2.53655,1.48626,2.97284,83.0848,84.5439,85.7086,34.2772,-2.72029,5.41641,34.809,47.2632,181.712,-145.244,237.379,0.0943165,s20140923_130041_461
19547663,24,-0.157957,0.0560685,-0.0340128,-0.00919591,0.0257526,0.0779143,400.0,0.0825736,-0.157469,-2.4608,0.964205,2.64764,70.349,83.2688,83.6059,31.746,-0.514404,3.91688,31.9909,-425.85,228.842,-130.225,500.675,0.0939315,s20140923_130041_461
19547664,25,-0.158052,0.0562052,-0.0331951,-0.00937886,0.00214737,0.084503,400.0,0.085049,0.12721,-2.13881,0.267025,2.15916,12.8961,83.6667,83.6688,25.7602,1.85655,2.81191,25.9797,-542.284,254.362,-65.5998,602.557,0.0937948,s20140923_130041_461
19547665,26,-0.158135,0.0561262,-0.0323489,-0.0066517,-0.0170236,0.0832548,400.0,0.0852374,0.423371,-1.60689,-0.62959,1.777,68.6577,85.432,85.5242,20.9003,4.57283,2.60488,21.5527,-278.225,336.843,51.3963,439.903,0.0938738,s20140923_130041_461
19547666,27,-0.158175,0.0558854,-0.0315636,-0.000911448,-0.0299904,0.0719112,400.0,0.0779197,0.680209,-0.963755,-1.54838,1.94653,88.2592,89.2738,89.3298,20.1957,8.59341,3.83984,22.2813,169.246,539.575,241.608,614.947,0.0941146,s20140923_130041_461
19547667,28,-0.158146,0.0555486,-0.0309383,0.00695247,-0.0362987,0.0522873,400.0,0.0640304,0.822142,-0.33095,-2.13107,2.30801,100.843,97.574,96.2335,24.2853,15.3643,7.43704,29.6841,631.141,862.804,553.347,1203.73,0.0944514,s20140923_130041_461
19547668,29,-0.158034,0.0551794,-0.0305291,0.0155314,-0.0366094,0.0292898,400.0,0.0493899,0.854286,0.20276,-2.32132,2.48182,112.989,117.936,108.329,32.8185,25.8495,14.9068,44.3561,731.079,889.83,771.086,1385.95,0.0948206,s20140923_130041_461
19547669,30,-0.157836,0.054832,-0.0303539,0.0240382,-0.0322435,0.00586096,400.0,0.0406427,0.772725,0.62474,-2.24151,2.4519,126.705,166.298,126.26,38.9068,33.1609,22.8588,55.9992,89.8554,156.894,456.611,491.105,0.095168,s20140923_130041_461
19547670,31,-0.157558,0.0545471,-0.0304052,0.0309859,-0.0241146,-0.0155405,400.0,0.0422273,0.54334,0.981465,-1.94564,2.24588,142.108,153.365,137.205,34.6157,28.9874,24.039,51.1506,-652.849,-683.804,-149.795,957.204,0.0954529,s20140923_130041_461
19547671,32,-0.157226,0.054361,-0.0306518,0.034905,-0.0126142,-0.0330518,400.0,0.0496981,0.232675,1.27809,-1.53378,2.01001,160.131,136.562,134.615,25.8499,19.4848,19.8629,37.979,-713.946,-785.655,-397.037,1133.41,0.095639,s20140923_130041_461
19547672,33,-0.156871,0.0543034,-0.0310517,0.0356394,0.00144728,-0.0462162,400.0,0.0583798,-0.077405,1.49405,-1.12274,1.87048,177.675,127.637,127.624,20.3367,13.2743,16.0983,29.1366,-426.455,-446.894,-308.649,690.537,0.0956966,s20140923_130041_461
19547673,34,-0.156523,0.0543958,-0.0315632,0.0333569,0.0172667,-0.0555065,400.0,0.0670208,-0.36227,1.62967,-0.797325,1.85008,152.632,121.004,119.849,17.3208,10.547,13.6899,24.4675,-306.868,-188.265,-220.263,422.051,0.0956042,s20140923_130041_461
19547674,35,-0.156213,0.0546519,-0.0321531,0.028394,0.0340407,-0.0621627,400.0,0.0763491,-0.600125,1.66683,-0.64167,1.8842,129.832,114.549,111.833,14.1994,9.50897,11.693,20.7067,-329.587,-88.4988,-191.916,391.525,0.0953481,s20140923_130041_461
19547675,36,-0.155962,0.0550759,-0.0328048,0.0213544,0.0506032,-0.0683399,400.0,0.0876757,-0.80626,1.58,-0.5432,1.85513,112.88,107.353,104.097,10.729,8.77698,9.85157,17.0059,-270.445,-68.5909,-145.102,314.483,0.0949241,s20140923_130041_461
19547676,37,-0.155792,0.0556589,-0.0335149,0.0122688,0.0656406,-0.0730267,400.0,0.0989551,-1.02576,1.35364,-0.22885,1.71374,100.587,99.5369,97.1221,8.79048,8.13715,8.79098,14.8582,-112.975,-30.0596,-52.2341,128.044,0.0943411,s20140923_130041_461
