id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19507239,0,-0.176333,0.0660338,0.0418814,0.417762,0.115133,0.0318798,400.0,0.434508,0.1572,-0.3542,-0.26786,0.471082,164.592,175.636,164.041,-0.103445,0.618694,-0.878828,1.07973,-14.7721,78.3855,-87.416,118.339,0.0839662,s20140924_123536_4874
19507240,1,-0.17215,0.0671734,0.0421913,0.419334,0.111591,0.0292012,400.0,0.434909,0.67055,-0.6239,-0.59565,1.09256,165.098,176.017,164.62,-0.251166,1.40255,-1.75299,2.25902,-22.995,119.866,-123.108,173.356,0.0828266,s20140924_123536_4874
19507241,2,-0.167912,0.0682477,0.0424436,0.431173,0.102655,0.0199668,400.0,0.443674,2.0275,-1.08211,-1.32191,2.65126,166.608,177.349,166.366,-0.563345,3.01601,-3.34099,4.53607,-30.9099,158.829,-130.971,208.172,0.0817523,s20140924_123536_4874
19507242,3,-0.163471,0.0692139,0.042564,0.459884,0.0899488,0.00276292,400.0,0.468606,3.33505,-1.46664,-2.21133,4.26188,168.933,179.656,168.928,-0.869365,4.57913,-4.37241,6.39079,-27.9555,152.465,-68.1538,169.328,0.0807861,s20140924_123536_4874
19507243,4,-0.158684,0.0700336,0.0424661,0.497874,0.0733222,-0.0242599,400.0,0.503829,3.4432,-1.87972,-3.26986,5.10695,171.622,177.21,171.182,-1.12246,6.0653,-4.70407,7.75732,-21.9485,143.002,-22.7061,146.448,0.0799664,s20140924_123536_4874
19507244,5,-0.153537,0.0706659,0.042041,0.528748,0.0523543,-0.0626342,400.0,0.535013,2.147,-2.36551,-4.23906,5.308,174.345,173.244,171.223,-1.30833,7.43918,-4.82653,8.96374,-17.6721,119.098,-30.0431,124.094,0.0793341,s20140924_123536_4874
19507245,6,-0.148171,0.0710628,0.0411866,0.540814,0.026012,-0.109041,400.0,0.55231,0.1895,-2.94327,-4.73734,5.58043,177.246,168.601,168.289,-1.4759,8.44727,-5.30493,10.0835,-20.4768,79.9718,-68.0126,106.96,0.0789372,s20140924_123536_4874
19507246,7,-0.142788,0.0711655,0.0398538,0.532538,-0.00651112,-0.157381,400.0,0.555345,-1.59175,-3.5281,-4.71315,6.09876,179.299,163.536,163.523,-1.71787,9.03862,-6.18679,11.0871,-28.7045,36.2961,-91.8699,102.866,0.0788345,s20140924_123536_4874
19507247,8,-0.137572,0.0709141,0.0380471,0.508979,-0.0445499,-0.203304,400.0,0.549888,-2.70215,-3.99341,-4.3572,6.49878,174.998,158.227,157.76,-2.04999,9.17319,-7.14233,11.8052,-35.0921,-18.7166,-80.4442,89.7387,0.0790859,s20140924_123536_4874
19507248,9,-0.132632,0.0702619,0.0358033,0.478495,-0.0863794,-0.244525,400.0,0.544253,-3.0284,-4.29311,-3.8335,6.50367,169.767,152.932,151.543,-2.41971,8.66429,-7.79567,11.9037,-36.7326,-87.5214,-38.7559,102.525,0.0797381,s20140924_123536_4874
