id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19242311,0,0.178446,0.0524287,0.111662,0.329658,0.106832,0.0891988,400.0,0.357832,0.7498,0.2376,-0.22072,0.816928,162.044,164.859,157.112,-0.342887,1.06942,-0.0136002,1.12313,-19.6751,67.8416,-8.91195,71.1971,0.038338,s20140924_123536_3967
19242312,1,0.181768,0.0535049,0.112547,0.337156,0.109208,0.0869916,400.0,0.364922,2.112,0.63995,-0.18719,2.21475,162.052,165.532,157.505,-0.539639,1.74784,-0.10272,1.83213,-15.2863,60.6002,-17.8744,65.0042,0.037453,s20140924_123536_3967
19242313,2,0.18528,0.0546397,0.113404,0.371898,0.119631,0.085455,400.0,0.399903,5.18405,1.4906,0.17419,5.39691,162.168,167.059,158.43,-0.648614,2.28143,-0.371088,2.40069,9.77017,-8.09105,-32.8504,35.2147,0.036596,s20140924_123536_3967
19242314,3,0.18932,0.0559274,0.114278,0.440837,0.13902,0.0904754,400.0,0.471009,7.06325,1.82745,0.69147,7.32852,162.497,168.402,159.381,-0.344235,1.58602,-0.759728,1.79197,33.2565,-82.668,-35.1133,95.7755,0.035722,s20140924_123536_3967
19242315,4,0.194108,0.0574126,0.115226,0.513163,0.15618,0.0992844,400.0,0.545514,5.9597,1.20005,0.82428,6.13495,163.072,169.05,160.169,0.0165167,0.628068,-1.07335,1.24372,30.1988,-81.4557,-26.7276,90.892,0.034774,s20140924_123536_3967
19242316,5,0.199498,0.0590166,0.11626,0.560031,0.163021,0.106961,400.0,0.593002,3.93265,0.33815,0.78883,4.02521,163.77,169.187,160.804,0.259741,-0.0430945,-1.29428,1.32079,21.9811,-57.0843,-27.2719,66.9742,0.03374,s20140924_123536_3967
19242317,6,0.205259,0.06065,0.117367,0.591816,0.162943,0.115061,400.0,0.624528,3.3505,-0.1545,0.99805,3.4994,164.606,168.998,161.373,0.456139,-0.513618,-1.61879,1.75851,15.7464,-35.8136,-29.3965,48.9358,0.032633,s20140924_123536_3967
19242318,7,0.211346,0.0622657,0.118573,0.627041,0.159931,0.126922,400.0,0.659445,3.6483,-0.37945,1.2676,3.88084,165.691,168.557,161.964,0.574668,-0.759367,-1.88221,2.10941,2.11279,-4.04198,-4.15665,6.17084,0.031427,s20140924_123536_3967
19242319,8,0.217808,0.0638434,0.119911,0.664782,0.155354,0.140413,400.0,0.696983,2.7057,-0.585,0.9933,2.94103,166.847,168.073,162.516,0.498395,-0.594458,-1.70192,1.87038,-14.3704,33.7021,31.7687,48.4932,0.030089,s20140924_123536_3967
19242320,9,0.22457,0.0653643,0.121358,0.681155,0.148231,0.146788,400.0,0.712384,0.2426,-0.85685,0.1143,0.897837,167.723,167.839,162.972,0.28726,-0.085325,-1.24684,1.28234,-19.5549,56.2218,34.2543,68.6778,0.028642,s20140924_123536_3967
19242321,10,0.231338,0.0667984,0.122812,0.669634,0.138217,0.142699,400.0,0.698482,-1.5863,-1.0633,-0.7154,2.0393,168.338,167.97,163.476,0.107297,0.529977,-1.01684,1.15167,-16.3669,65.3326,13.6409,68.719,0.027188,s20140924_123536_3967
19242322,11,0.237934,0.0681245,0.124191,0.649429,0.126965,0.13248,400.0,0.674855,-1.8544,-1.04775,-1.22775,2.45844,168.938,168.47,164.222,-0.0400778,1.22133,-0.974019,1.56268,-15.4482,75.8099,3.28323,77.4375,0.025809,s20140924_123536_3967
19242323,12,0.244337,0.0693428,0.125448,0.632546,0.117262,0.118144,400.0,0.654082,-1.19285,-0.869,-1.6095,2.1837,169.498,169.42,165.257,-0.201666,2.04617,-0.951173,2.26544,-14.1116,83.1732,-8.38442,84.7774,0.024552,s20140924_123536_3967
19242324,13,0.250618,0.0704765,0.126543,0.625572,0.109585,0.10029,400.0,0.642968,-0.06495,-0.77215,-1.933,2.08253,170.064,170.892,166.642,-0.32231,2.88479,-1.14171,3.1192,-7.85679,67.7432,-27.8009,73.6462,0.023457,s20140924_123536_3967
19242325,14,0.256891,0.0715342,0.127444,0.631247,0.101819,0.079484,400.0,0.644327,1.17785,-0.81223,-2.11092,2.5501,170.837,172.823,168.435,-0.358802,3.40104,-1.50719,3.7373,-0.129568,27.6938,-37.6803,46.7629,0.022556,s20140924_123536_3967
19242326,15,0.263284,0.0725105,0.12813,0.649129,0.0933404,0.0580716,400.0,0.658372,1.9668,-0.989795,-2.12552,3.06036,171.817,174.888,170.388,-0.324901,3.43867,-1.89531,3.93982,5.0649,-10.4427,-45.2064,46.6725,0.02187,s20140924_123536_3967
19242327,16,0.269886,0.0733916,0.128606,0.670583,0.0820231,0.0369736,400.0,0.676592,1.3461,-1.4654,-2.07763,2.87679,173.026,176.844,172.358,-0.257504,3.19218,-2.41132,4.00884,8.062,-45.2416,-61.4306,76.7171,0.021394,s20140924_123536_3967
19242328,17,0.276642,0.0741287,0.128872,0.676051,0.0640324,0.0165191,400.0,0.679278,-1.69925,-2.21526,-1.7238,3.2812,174.589,178.6,174.413,-0.163661,2.53383,-3.12392,4.02567,9.20702,-83.3492,-96.1345,127.568,0.021128,s20140924_123536_3967
19242329,18,0.283257,0.0746445,0.128958,0.636598,0.037718,0.00249758,400.0,0.637719,-5.6807,-2.98382,-1.00061,6.49421,176.609,179.775,176.602,-0.0733634,1.5252,-4.33401,4.59514,5.91991,-82.9665,-153.67,174.736,0.021042,s20140924_123536_3967
19242330,19,0.289258,0.0748596,0.128949,0.562437,0.00435597,-0.00349313,400.0,0.562465,-6.93615,-3.50063,-0.463196,7.78326,179.556,179.644,179.431,-0.0452626,0.874505,-6.19732,6.25888,1.64996,-31.7784,-144.105,147.576,0.021051,s20140924_123536_3967
19242331,20,0.294538,0.0747206,0.128897,0.497875,-0.0322946,-0.00676635,400.0,0.498967,-4.594,-3.4521,-0.393028,5.75989,176.289,179.221,176.208,-0.0403642,0.889633,-7.2161,7.27085,2.62158,10.7056,14.6101,18.3013,0.021103,s20140924_123536_3967
19242332,21,0.29934,0.0742279,0.128809,0.470557,-0.064686,-0.0113537,400.0,0.475118,-0.7934,-2.84412,-0.524113,2.99887,172.173,178.618,172.055,0.00716903,1.08862,-5.90512,6.00463,3.44789,-2.45913,183.496,183.545,0.021191,s20140924_123536_3967
19242333,22,0.304078,0.0734533,0.128666,0.482007,-0.089177,-0.0172486,400.0,0.49049,2.2669,-2.19925,-0.501935,3.19804,169.518,177.951,169.328,0.0285936,0.84045,-3.54617,3.64452,-2.0835,-44.1421,201.389,206.18,0.021334,s20140924_123536_3967
19242334,23,0.309055,0.072461,0.12847,0.515895,-0.108671,-0.0213924,400.0,0.52765,3.9144,-1.82185,-0.25975,4.32541,168.105,177.626,167.883,-0.034501,0.205775,-1.87734,1.88889,-7.63241,-60.6842,126.907,140.877,0.02153,s20140924_123536_3967
