id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19689456,0,0.592762,-0.0121742,-0.0342942,0.00103072,0.21225,-0.150923,456.489,0.26044,-0.0390011,0.6593,-0.5884,0.884541,90.2782,90.3913,90.2268,-0.362033,0.0925982,0.127753,0.394921,-47.2452,12.0709,16.6533,51.5281,0.115706,s20140923_130041_1978
19689457,1,0.592771,-0.0100298,-0.035823,0.000640709,0.218843,-0.156807,459.091,0.269223,-0.0997546,1.11175,-1.0887,1.55923,90.1677,90.2341,90.1364,-0.834484,0.213307,0.294286,0.910202,-83.4709,21.3341,29.433,91.043,0.114177,s20140923_130041_1978
19689458,2,0.592771,-0.00776721,-0.0374637,-0.000964373,0.234485,-0.172697,460.667,0.291219,-0.264703,1.03785,-1.50285,1.84547,89.7644,89.6801,89.8103,-2.03145,0.51928,0.716413,2.21578,-145.667,38.5752,53.0893,159.767,0.112536,s20140923_130041_1978
19689459,3,0.592745,-0.00537514,-0.0392712,-0.00465335,0.2396,-0.186864,460.796,0.303888,-0.518466,-0.04615,-1.39865,1.49237,88.8874,88.5735,89.1226,-3.74783,0.984812,1.35607,4.10549,-167.203,49.2153,66.8616,186.68,0.110729,s20140923_130041_1978
19689460,4,0.592668,-0.00301239,-0.0411998,-0.0113337,0.233562,-0.20067,459.151,0.308137,-0.845722,-0.27005,-2.0132,2.20026,87.2219,86.7674,87.8921,-5.37551,1.50359,2.05365,5.94764,-116.745,44.3465,57.5776,137.518,0.1088,s20140923_130041_1978
19689461,5,0.592506,-0.000681648,-0.0433268,-0.0215678,0.234199,-0.227128,455.669,0.326958,-1.16957,0.1157,-2.91515,3.14315,84.7384,84.5755,86.2177,-6.08274,1.87174,2.50762,6.84042,-37.9384,29.783,34.0453,59.0376,0.106673,s20140923_130041_1978
19689462,6,0.592227,0.00167507,-0.0457603,-0.0347251,0.235876,-0.258973,450.397,0.352009,-1.44586,0.03135,-3.2593,3.56574,81.6252,82.3629,84.3387,-6.13428,2.09925,2.73455,7.03662,21.135,16.6042,12.0161,29.441,0.10424,s20140923_130041_1978
19689463,7,0.591803,0.00402678,-0.0485113,-0.050485,0.234826,-0.292314,443.744,0.378338,-1.67463,-0.02395,-3.41615,3.80461,77.8667,80.2012,82.3316,-5.66004,2.20382,2.74794,6.66664,104.794,8.39494,-13.1134,105.945,0.101489,s20140923_130041_1978
19689464,8,0.591211,0.00637699,-0.051612,-0.0682176,0.235397,-0.327296,436.249,0.408886,-1.65543,-0.18455,-2.50345,3.00696,73.8385,78.2265,80.396,-4.0384,2.26715,2.47229,5.24984,206.534,29.5029,-24.4231,210.056,0.098388,s20140923_130041_1978
19689465,9,0.590447,0.00871861,-0.0549909,-0.0835937,0.231135,-0.342383,428.712,0.421471,-1.3451,-0.8946,0.18655,1.62616,70.1167,76.2795,78.5602,-1.52935,2.79388,2.25948,3.90512,250.006,112.611,14.1487,274.562,0.0950091,s20140923_130041_1978
19689466,10,0.589552,0.0109685,-0.0583467,-0.0951196,0.217505,-0.323565,422.145,0.401311,-1.19116,-1.73165,3.1984,3.82717,66.3792,73.618,76.2891,0.96171,4.51936,2.75526,5.37968,244.601,278.445,117.275,388.735,0.0916533,s20140923_130041_1978
19689467,11,0.588542,0.0130441,-0.0613744,-0.107417,0.196502,-0.278415,417.051,0.357304,-1.46962,-2.44135,5.48155,6.17797,61.337,68.9026,72.5044,3.36266,8.36279,4.60499,10.1217,283.918,562.794,290.913,694.245,0.0886256,s20140923_130041_1978
19689468,12,0.587387,0.0148758,-0.0638506,-0.124512,0.168678,-0.213934,413.43,0.299538,-1.9539,-3.09945,7.217,8.09379,53.5666,59.8001,65.4379,6.64007,15.7752,8.57351,19.143,415.745,943.642,498.016,1145.13,0.0861494,s20140923_130041_1978
19689469,13,0.586035,0.0163966,-0.0656018,-0.146495,0.134513,-0.134075,411.078,0.239855,-2.1651,-3.5743,8.39085,9.37388,42.5584,42.4653,52.3553,11.6776,27.2356,14.5653,33.0196,451.141,968.801,425.635,1150.33,0.0843982,s20140923_130041_1978
19689470,14,0.584459,0.0175555,-0.0665051,-0.167814,0.097192,-0.0461171,409.762,0.199335,-1.4336,-3.42737,8.27695,9.07248,30.0779,15.3662,32.6622,15.6629,35.1513,17.0862,42.1055,149.511,282.337,-92.2956,332.545,0.0834949,s20140923_130041_1978
19689471,15,0.582726,0.0183607,-0.0665588,-0.175167,0.0659657,0.031464,409.254,0.189802,0.1665,-2.70257,6.78105,7.30167,20.6357,10.183,22.6475,14.6678,32.8824,12.7194,38.1861,-207.395,-404.562,-448.378,638.534,0.0834412,s20140923_130041_1978
19689472,16,0.581016,0.0189028,-0.0659409,-0.164484,0.0431405,0.089504,409.313,0.192164,1.5224,-2.21089,5.2181,5.86807,14.6964,28.5528,31.1345,11.515,27.06,8.11865,30.5082,-237.505,-500.152,-290.786,625.393,0.0840591,s20140923_130041_1978
19689473,17,0.579466,0.0192283,-0.0648077,-0.144719,0.021748,0.135826,409.831,0.199663,2.0926,-2.23046,4.3622,5.32754,8.54631,43.1844,43.5464,9.91769,22.8793,6.90367,25.8744,-122.606,-427.084,-83.8371,452.175,0.0851923,s20140923_130041_1978
19689474,18,0.57813,0.0193317,-0.0632424,-0.122632,-0.00146861,0.176748,410.824,0.215129,2.09995,-2.42846,3.97245,5.1076,0.686127,55.2462,55.2471,9.06288,18.5183,6.44191,21.6001,-98.0354,-478.544,-72.4418,493.825,0.0867576,s20140923_130041_1978
19689475,19,0.577006,0.0191918,-0.0612808,-0.10272,-0.0268212,0.215275,412.398,0.240029,1.73791,-2.58717,3.7016,4.83897,14.6338,64.4915,64.6626,7.95698,13.3085,5.45484,16.4373,-124.449,-515.701,-119.878,543.88,0.0887192,s20140923_130041_1978
19689476,20,0.576058,0.0187918,-0.058947,-0.0878738,-0.053212,0.25078,414.729,0.271005,1.16914,-2.59495,3.2838,4.34557,31.197,70.6894,71.0798,6.57389,8.20431,4.04434,11.2643,-133.849,-457.364,-139.895,496.656,0.091053,s20140923_130041_1978
19689477,21,0.575228,0.0181305,-0.0562829,-0.0793372,-0.0787203,0.280951,418.037,0.302365,0.54857,-2.41985,2.6226,3.61035,44.7764,74.231,74.7882,5.28,4.16118,2.65694,7.22864,-109.083,-339.822,-122.934,377.48,0.0937171,s20140923_130041_1978
19689478,22,0.574451,0.0172261,-0.0533542,-0.0769024,-0.101609,0.303232,422.557,0.328919,0.02746,-2.12423,1.7451,2.74927,52.8799,75.7693,76.4789,4.39223,1.40786,1.58566,4.8773,-58.9557,-220.272,-86.3861,243.84,0.0966458,s20140923_130041_1978
19689479,23,0.573675,0.0161093,-0.0502505,-0.078788,-0.121205,0.315853,428.491,0.347363,-0.28308,-1.82515,0.7303,1.98611,56.9746,75.9937,76.8902,4.10088,-0.244249,0.929218,4.21193,6.63926,-128.522,-45.7695,136.59,0.0997495,s20140923_130041_1978
19689480,24,0.572869,0.014811,-0.0470726,-0.082564,-0.138112,0.317838,435.949,0.356248,-0.363275,-1.62265,-0.3685,1.70316,59.1288,75.4383,76.5993,4.52501,-1.16257,0.670274,4.71981,78.9652,-69.6812,-8.02639,105.619,0.102927,s20140923_130041_1978
19689481,25,0.572025,0.0133516,-0.0439316,-0.0860535,-0.153658,0.308483,444.883,0.355215,-0.24353,-1.54385,-1.49315,2.16155,60.7497,74.4132,75.9802,5.68019,-1.63787,0.76869,5.96138,151.944,-35.3688,26.4474,158.232,0.106068,s20140923_130041_1978
19689482,26,0.571155,0.0117386,-0.0409402,-0.0874346,-0.168989,0.287975,455.01,0.345155,0.016885,-1.5672,-2.57065,3.01075,62.643,73.1107,75.3259,7.56389,-1.86994,1.19922,7.88335,226.394,-20.1594,58.3081,234.65,0.10906,s20140923_130041_1978
19689483,27,0.570287,0.00996955,-0.0382067,-0.0857158,-0.185002,0.25707,465.762,0.328113,0.338775,-1.64765,-3.5529,3.93098,65.1406,71.5599,74.8564,10.2081,-2.04106,1.93485,10.5884,303.839,-23.3746,84.8451,316.328,0.111793,s20140923_130041_1978
